Function,Usage,Description,Example,Requirement,Category,Specific Category
CDLMATHOLD ,"TALIB(CDLMATHOLD, PENETRATION)",Mat Hold PENETRATION is the percentage of penetration of a candle within another candle,"TALIB(CDLMATHOLD, 0.5)",3,Candlestick,
CDLMORNINGDOJISTAR ,"TALIB(CDLMORNINGDOJISTAR, PENETARTION)",Morning Doji Star PENETRATION is the percentage of penetration of a candle within another candle,"TALIB(CDLMORNINGDOJISTAR, 0.3)",5,Candlestick,
CDLMORNINGSTAR ,"TALIB(CDLMORNINGSTAR, PENETRATION)",Morning Star PENETRATION is the percentage of penetration of a candle within another candle,"TALIB(CDLMORNINGSTAR, 0.3)",5,Candlestick,
CDLONNECK ,TALIB(CDLONNECK),On-Neck Pattern,TALIB(CDLONNECK),4,Candlestick,
CDLPIERCING ,TALIB(CDLPIERCING),Piercing Pattern,TALIB(CDLPIERCING),5,Candlestick,
CDLRICKSHAWMAN ,TALIB(CDLRICKSHAWMAN),Rickshaw Man,TALIB(CDLRICKSHAWMAN),3,Candlestick,
CDLRISEFALL3METHODS ,TALIB(CDLRISEFALL3METHODS),Rising/Falling Three Methods,TALIB(CDLRISEFALL3METHODS),4,Candlestick,
CDLSEPARATINGLINES ,TALIB(CDLSEPARATINGLINES),Separating Lines,TALIB(CDLSEPARATINGLINES),3,Candlestick,
CDLSHOOTINGSTAR ,TALIB(CDLSHOOTINGSTAR),Shooting Star,TALIB(CDLSHOOTINGSTAR),5,Candlestick,
CDLSHORTLINE ,TALIB(CDLSHORTLINE),Short Line Candle,TALIB(CDLSHORTLINE),3,Candlestick,
CDLSPINNINGTOP ,TALIB(CDLSPINNINGTOP),Spinning Top,TALIB(CDLSPINNINGTOP),5,Candlestick,
CDLSTALLEDPATTERN ,TALIB(CDLSTALLEDPATTERN),Stalled Pattern,TALIB(CDLSTALLEDPATTERN),3,Candlestick,
CDLSTICKSANDWICH ,TALIB(CDLSTICKSANDWICH),Stick Sandwich,TALIB(CDLSTICKSANDWICH),4,Candlestick,
CDLTAKURI ,TALIB(CDLTAKURI),Takuri (Dragonfly Doji With Very Long Lower Shadow),TALIB(CDLTAKURI),3,Candlestick,
CDLTASUKIGAP ,TALIB(CDLTASUKIGAP),Tasuki Gap,TALIB(CDLTASUKIGAP),3,Candlestick,
CDLTHRUSTING ,TALIB(CDLTHRUSTING),Thrusting Pattern,TALIB(CDLTHRUSTING),3,Candlestick,
CDLTRISTAR ,TALIB(CDLTRISTAR),Tristar Pattern,TALIB(CDLTRISTAR),4,Candlestick,
CDLUNIQUE3RIVER ,TALIB(CDLUNIQUE3RIVER),Unique Three River,TALIB(CDLUNIQUE3RIVER),4,Candlestick,
